# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000019,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000020,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000020,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000020,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000020,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000021,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000021,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000021,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000021,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000022,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000022,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000022,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000022,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000023,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000023,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000023,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000023,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000024,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000024,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000024,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000024,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000025,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000025,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000025,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000025,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000026,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000026,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000026,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000026,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000027,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000027,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000027,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000027,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000028,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000028,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000028,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000028,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000029,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000029,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000029,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000029,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000030,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000030,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000030,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000030,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000031,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000031,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000031,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000031,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000032,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000032,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000032,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000032,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000033,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000033,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000033,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000033,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000034,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000034,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000034,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000034,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
